playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,Debut_Year,Final_Year,retroID,bbrefID
wadebe01,1922,11,25,USA,NC,Morehead City,2002,12,2,USA,CA,Los Angeles,Ben,Wade,Benjamin Styron,195,75,R,R,1948,1955,wadeb101,wadebe01
bradlfr01,1920,7,31,USA,KS,Parsons,2012,4,24,USA,CA,Pico Rivera,Fred,Bradley,Fred Langdon,180,73,R,R,1948,1949,bradf102,bradlfr01
beerscl01,1918,12,9,USA,KS,El Dorado,2002,12,6,USA,AZ,Tucson,Clarence,Beers,Clarence Scott,175,72,R,R,1948,1948,beerc101,beerscl01
buchajo01,1925,1,22,USA,PA,Allentown,1996,4,28,USA,PA,Bethlehem,Johnny,Bucha,John George,190,71,R,R,1948,1953,buchj104,buchajo01
tiptojo01,1922,2,18,USA,GA,McCaysville,1994,3,1,USA,AL,Birmingham,Joe,Tipton,Joe Hicks,185,71,R,R,1948,1954,tiptj101,tiptojo01
yochira01,1922,7,19,USA,LA,New Orleans,2002,1,26,USA,LA,New Orleans,Ray,Yochim,Raymond Austin Aloysius,170,73,R,R,1948,1949,yochr101,yochira01
wilsogr01,1922,11,23,USA,GA,Columbus,2003,7,23,USA,GA,Columbus,Grady,Wilson,Grady Herbert,170,72,R,R,1948,1948,wilsg103,wilsogr01
weltedi01,1927,8,3,USA,PA,Williamsport,2014,5,7,USA,PA,Williamsport,Dick,Welteroth,Richard John,165,71,R,R,1948,1950,weltd101,weltedi01
konikal01,1928,6,8,USA,PA,Throop,1997,9,27,USA,CT,Seymour,Alex,Konikowski,Alexander James,187,73,R,R,1948,1954,konia101,konikal01
roberro01,1926,9,30,USA,IL,Springfield,2010,5,6,USA,FL,Temple Terrace,Robin,Roberts,Robin Evan,190,72,B,R,1948,1966,rober102,roberro01
shubage01,1924,12,13,USA,OH,Youngstown,2014,9,29,USA,OH,Youngstown,George,Shuba,George Thomas,180,71,L,R,1948,1955,shubg101,shubage01
rotblma01,1927,10,18,USA,IL,Chicago,2013,7,16,USA,IL,Niles,Marv,Rotblatt,Marvin,160,67,B,L,1948,1951,rotbm101,rotblma01
fleitan01,1914,11,10,Cuba,,Los Abreus,2006,7,10,USA,FL,Miami,Angel,Fleitas,Angel Felix,160,69,R,R,1948,1948,fleia101,fleitan01
ostrojo02,1916,11,15,USA,PA,West Wyoming,2003,1,3,USA,PA,Wilkes-Barre,Joe,Ostrowski,Joseph Paul,180,72,L,L,1948,1952,ostrj101,ostrojo02
palmmi01,1925,2,13,USA,MA,Boston,2011,7,24,USA,MA,Scituate,Mike,Palm,Richard Paul,190,75,R,R,1948,1948,palmm101,palmmi01
arftha01,1922,1,28,USA,MO,Manchester,2002,12,14,USA,MO,St. Louis,Hank,Arft,Henry Irven,190,70,L,L,1948,1952,arfth101,arftha01
muelldo01,1927,4,14,USA,MO,St. Louis,2011,12,28,USA,MO,Chesterfield,Don,Mueller,Donald Frederick,185,72,L,R,1948,1959,mueld101,muelldo01
clarkji02,1927,9,21,USA,PA,Baggaley,1990,10,24,USA,CA,Santa Monica,Jim,Clark,James,150,69,R,R,1948,1948,clarj105,clarkji02
boonera01,1923,7,27,USA,CA,San Diego,2004,10,17,USA,CA,San Diego,Ray,Boone,Raymond Otis,172,72,R,R,1948,1960,boonr101,boonera01
beardte01,1921,1,7,USA,MD,Woodsboro,2011,12,30,USA,IN,Fishers,Ted,Beard,Cramer Theodore,165,68,L,L,1948,1958,beart101,beardte01
bauerha01,1922,7,31,USA,IL,East St. Louis,2007,2,9,USA,KS,Lenexa,Hank,Bauer,Henry Albert,192,72,R,R,1948,1961,baueh101,bauerha01
sexauel01,1926,5,21,USA,MO,St. Louis County,2011,6,27,USA,GA,Atlanta,Elmer,Sexauer,Elmer George,220,76,R,R,1948,1948,sexae101,sexauel01
weikdi01,1927,11,17,USA,IA,Waterloo,1991,4,21,USA,IL,Harvey,Dick,Weik,Richard Henry,184,75,R,R,1948,1954,weikd101,weikdi01
coopeca01,1922,8,11,USA,SC,Great Falls,1994,7,4,USA,SC,Clinton,Cal,Cooper,Calvin Asa,180,74,R,R,1948,1948,coopc102,coopeca01
